"","Grid","effort_start","effort_end","hours","effort_hours","effort_secs"
"40","K974",2017-04-04 14:17:22,2017-05-10 05:07:00,854.827222222222,854.827222222222,3077378
"41","K975",2017-04-05 12:25:35,2017-05-10 08:50:17,836.411666666667,836.411666666667,3011082
"42","K976",2017-04-05 13:03:22,2017-04-29 11:40:44,574.622777777778,574.622777777778,2068642
"43","S100",2016-12-22 18:41:09,2017-01-29 14:58:05,908.282222222222,908.282222222222,3269816
"44","S104",2016-12-25 13:12:29,2017-01-29 15:42:18,842.496944444444,842.496944444444,3032989
"45","S107",2016-12-22 19:03:27,2017-01-29 15:31:43,908.471111111111,908.471111111111,3270496
"46","S108",2016-12-25 09:44:39,2017-01-29 14:18:30,844.564166666667,844.564166666667,3040431
"47","S109",2016-12-23 09:35:10,2017-01-18 03:38:00,618.047222222222,914.051111111111,3290584
"48","S109",2017-01-18 04:38:00,2017-01-30 12:38:14,296.003888888889,914.051111111111,3290584
"49","S110",2016-12-23 10:13:29,2017-01-30 12:48:58,914.591388888889,914.591388888889,3292529
"50","S111",2016-12-23 10:08:43,2016-12-26 16:06:28,77.9625,77.9625,280665
"51","S112",2016-12-23 12:24:11,2017-01-30 13:18:04,912.898055555556,912.898055555556,3286433
"52","S113",2016-12-23 14:04:56,2017-01-06 16:20:00,338.251111111111,889.360555555555,3201698
"53","S113",2017-01-06 17:20:00,2017-01-29 16:26:34,551.109444444444,889.360555555555,3201698
"54","S114",2016-12-25 14:30:34,2017-01-29 16:13:50,841.721111111111,841.721111111111,3030196
"55","S115",2016-12-26 17:22:21,2017-01-29 15:55:53,814.558888888889,814.558888888889,2932412
"56","S116",2016-12-26 18:22:28,2017-01-29 17:03:39,814.686388888889,814.686388888889,2932871
"57","S120",2016-12-23 11:10:50,2016-12-30 16:24:24,173.226111111111,173.226111111111,623614
"58","S121",2016-12-23 13:36:07,2017-01-29 15:59:31,890.39,890.39,3205404
"59","S122",2016-12-23 18:34:18,2017-01-29 14:49:09,884.2475,884.2475,3183291
"60","S123",2016-12-24 11:31:43,2017-01-29 17:02:02,869.505277777778,869.505277777778,3130219
"61","S123_1",2016-12-24 09:42:11,2017-01-29 14:37:20,868.919166666667,868.919166666667,3128109
"62","S124",2016-12-24 17:05:23,2017-01-30 15:29:48,886.406944444444,886.406944444444,3191065
